Id_slike;Id_slikarja;Linki
37789;4359;http://www.wga.hu/html/v/vervloet/venice2.html
34752;4099;http://www.wga.hu/html/t/toeput/1spring1.html
25811;3110;http://www.wga.hu/html/p/palladio/1/redento2.html
24600;2900;http://www.wga.hu/html/m/morelli/vespers.html
19148;2354;http://www.wga.hu/html/l/ligozzi/nature1.html
2434;316;http://www.wga.hu/html/b/bembo/bonifazi/vaulting.html
20152;2442;http://www.wga.hu/html/l/luini/father/2/catherin.html
2460;323;http://www.wga.hu/html/b/bening/simon/jerome2.html
8413;1078;http://www.wga.hu/html/d/dael/stillife.html
34023;4076;http://www.wga.hu/html/t/tiepolo/gianbatt/7_1760s/09parrot.html
36011;4224;http://www.wga.hu/html/m/master/yunk_fr/yunk_fr2/03takin1.html
26746;3242;http://www.wga.hu/html/p/piero/4/montefe5.html
36846;4290;http://www.wga.hu/html/v/vasari/1/02deposi.html
30517;3597;http://www.wga.hu/html/r/rosa/diogenes.html
4876;629;http://www.wga.hu/html/b/bryullov/karl/portrait.html
18617;2277;http://www.wga.hu/html/l/leemput/tudors.html
27567;3335;http://www.wga.hu/html/p/potter/paulus/fourbull.html
37377;4345;http://www.wga.hu/html/v/vermeer/04/34guita.html
9627;1221;http://www.wga.hu/html/d/dossi/dosso/jupiter.html
27636;3341;http://www.wga.hu/html/p/poussin/1/11arcadi.html
6245;818;http://www.wga.hu/html/c/cellini/1/06salt.html
33938;4076;http://www.wga.hu/html/t/tiepolo/gianbatt/5wurzbur/3ceilin1.html
29471;3479;http://www.wga.hu/html/r/ribera/1/hercules.html
36703;4251;http://www.wga.hu/html/u/urbani/vendra09.html
18564;2263;http://www.wga.hu/html/l/le_pautr/jean/festivit.html
7147;931;http://www.wga.hu/html/c/collier/vanitas.html
34736;4097;http://www.wga.hu/html/t/tiziano/10/3/4paul3d.html
20971;2549;http://www.wga.hu/html/m/marot/jean1/louvre.html
14539;1701;http://www.wga.hu/html/g/gogh_van/19/1remy06.html
9248;1199;http://www.wga.hu/html/d/domenich/1/landsca4.html
22885;2777;http://www.wga.hu/html/m/michelan/4drawing/04/31ignudi.html
1560;194;http://www.wga.hu/html/b/baldung/3/21ludwig.html
18033;2153;http://www.wga.hu/html/k/knupfer/hercules.html
4005;545;http://www.wga.hu/html/b/bouts/dirk_e/altar/torture.html
37234;4334;http://www.wga.hu/html/v/verhaech/river_la.html
3566;509;http://www.wga.hu/html/b/bosschae/ambrosiu/flower_.html
5041;675;http://www.wga.hu/html/c/caffieri/jeanjacq/sibyl.html
1222;133;http://www.wga.hu/html/a/arnolfo/4/04presep.html
21505;2629;http://www.wga.hu/html/m/master/francis/painted.html
30235;3577;http://www.wga.hu/html/zgothic/1romanes/cap-12c1/08f_1101.html
6692;860;http://www.wga.hu/html/c/christus/2/eligius0.html
38225;4444;http://www.wga.hu/html/v/vouet/1/2fortun1.html
10629;1292;http://www.wga.hu/html/e/eckersbe/morningt.html
21794;2692;http://www.wga.hu/html/m/matteo/madonna3.html
23493;2823;http://www.wga.hu/html/zgothic/miniatur/1151-200/3french/12french.html
17780;2095;http://www.wga.hu/html/j/juan/1/baptism.html
26167;3174;http://www.wga.hu/html/p/pellegri/1/muciussc.html
36405;4228;http://www.wga.hu/html/m/master/xunk_it/xunk_it6/01zeno4.html
27513;3326;http://www.wga.hu/html/p/pordenon/various/st_luke.html
36174;4225;http://www.wga.hu/html/m/master/zunk_ge/zunk_ge8/03christ.html
30658;3616;http://www.wga.hu/html/r/rosso/2/6stucco1.html
30097;3566;http://www.wga.hu/html/zgothic/stained/12c/2/11rounde.html
29562;3484;http://www.wga.hu/html/r/ricci/sebastia/2/meeting.html
7617;1002;http://www.wga.hu/html/c/cotelle/maze.html
23312;2820;http://www.wga.hu/html/zgothic/miniatur/1251-300/1english/59englis.html
30669;3619;http://www.wga.hu/html/r/rotari/russgirl.html
21364;2611;http://www.wga.hu/html/m/master/flemalle/1/madonn.html
5823;751;http://www.wga.hu/html/c/carpacci/5/01ladiex.html
1540;194;http://www.wga.hu/html/b/baldung/1/11_3grac.html
20327;2477;http://www.wga.hu/html/m/maiano/benedett/mad_chil.html
17350;1998;http://www.wga.hu/html/h/hulsdonc/stillifx.html
38068;4414;http://www.wga.hu/html/v/vivarini/bartolom/other/conversa.html
14331;1701;http://www.wga.hu/html/g/gogh_van/10/portra03.html
29451;3476;http://www.wga.hu/html/r/reynolds/scipio.html
13456;1649;http://www.wga.hu/html/g/giotto/padova/5heads1/2head033.html
24849;2916;http://www.wga.hu/html/zgothic/mosaics/7baptist/18baptis.html
14607;1706;http://www.wga.hu/html/g/gonzales/loge.html
7829;1036;http://www.wga.hu/html/c/crabbe/virgin_2.html
8421;1081;http://www.wga.hu/html/d/dahl/cloud_st.html
20424;2493;http://www.wga.hu/html/m/malouel/calvary.html
38207;4440;http://www.wga.hu/html/v/vos_s/5senses.html
37380;4345;http://www.wga.hu/html/v/vermeer/04/35seat.html
37929;4392;http://www.wga.hu/html/v/vinne/vincent2/courtyar.html
14601;1703;http://www.wga.hu/html/g/goncalve/n-reliqc.html
13393;1649;http://www.wga.hu/html/g/giotto/padova/4lastjud/01_lastj.html
35654;4206;http://www.wga.hu/html/zzdeco/1gold/14c/12h_1302.html
36686;4246;http://www.wga.hu/html/zzdeco/2tapestr/1/02i_1400.html
22033;2741;http://www.wga.hu/html/m/memling/1early3/02last.html
25110;2953;http://www.wga.hu/html/n/nardo/strozzi/3north.html
19203;2361;http://www.wga.hu/html/l/lingelba/roman_sc.html
