Ime,Obdobje,Narodnost,Smer,Kraj 
"PREVITALI, Andrea",High Renaissance,Italian,painter,Venice
"ISENBRANT, Adriaen",Northern Renaissance,Flemish,painter,Bruges
"FANTIN-LATOUR, Henri",Realism,French,painter,Paris
"MALINCONICO, Nicola",Baroque,Italian,painter,Naples
MASO DI BANCO,Medieval,Italian,painter,Florence
NICCOLÒ,Medieval,Italian,sculptor,Ferrara
"CAMMARANO, Michele",Realism,Italian,painter,Naples
"MOSCA, Francesco",Mannerism,Italian,sculptor,
"KOERBECKE, Johann",Northern Renaissance,German,painter,Münster
"VIANI, Domenico Maria",Baroque,Italian,painter,Bologna
"MERCIER, Philip",Rococo,French,painter,London
"LANEN, Jasper van der",Baroque,Flemish,painter,Antwerp
"SCHOPIN, Frédéric-Henri",Romanticism,French,painter,
"PAGANINO, Giovanni Antonio",Mannerism,Italian,painter,
"RIBALTA, Juan",Baroque,Spanish,painter,Valencia
"CRANACH, Lucas the Elder",Northern Renaissance,German,painter,Wittenberg
"JAMNITZER, Wenzel",Northern Renaissance,German,goldsmith,Nuremberg
"INDUNO, Gerolamo",Realism,Italian,painter,Milan
"BRESCIANINO, Andrea del",High Renaissance,Italian,painter,Siena
"JÄRNEFELT, Eero",Impressionism,Finnish,painter,
"JANSSENS, Jan Willem",Baroque,Flemish,painter,Ghent
"ASHFORD, William",Rococo,Irish,painter,Dublin
LORENZO DI CREDI,High Renaissance,Italian,painter,Florence
"RECCO, Elena",Baroque,Italian,painter,Naples
FRANCESCO DE' FRANCESCHI,Early Renaissance,Italian,painter,Venice
"FORMENT, Damian",High Renaissance,Spanish,sculptor,
"BOSCHETTI, Lorenzo",Baroque,Italian,architect,Venice
MASTER of the View of Ste Gudule,Northern Renaissance,Flemish,painter,Brussels
"GOUJON, Jean",Northern Renaissance,French,sculptor,
"SARAZIN DE BELMONT, Louise Joséphine",Realism,French,painter,Paris
"MERCK, Johann Christof",Baroque,German,painter,Berlin
"STANIS£AWSKI, Jan",Impressionism,Polish,painter,Cracow
MASTER of Saint Veronica,Early Renaissance,German,painter,Cologne
"LIPPI, Fra Filippo",Early Renaissance,Italian,painter,Florence
"AMMANATI, Bartolomeo",Mannerism,Italian,architect,
"PASSEROTTI, Bartolomeo",Mannerism,Italian,painter,Bologna
PASSIGNANO,High Renaissance,Italian,painter,Florence
"ASPETTI, Tiziano",Mannerism,Italian,sculptor,Venice
"NAVEZ, François-Joseph",Neoclassicism,Belgian,painter,
"VAROTARI, Chiara",Baroque,Italian,painter,Venice
"KUCHARSKI, Aleksander",Rococo,Polish,painter,Paris
MASTER of the Legend of Saint Lucy,Northern Renaissance,Flemish,painter,Bruges
GIOVANNI and PACIO DA FIRENZE,Medieval,Italian,sculptor,
"MACHADO DE CASTRO, Joachim",Rococo,Portuguese,sculptor,
"KEYSER, Nicolaes",Baroque,Dutch,goldsmith,Delft
"CAMUCCINI, Vincenzo",Neoclassicism,Italian,painter,Rome
"ALBANI, Francesco",Baroque,Italian,painter,Bologna
"MULIER, Pieter the Elder",Baroque,Dutch,painter,Haarlem
PIERO DI COSIMO,Early Renaissance,Italian,painter,Florence
FRANCESCO D'ANTONIO DI BARTOLOMMEO,Early Renaissance,Italian,painter,Florence
"BROWN, Mather",Neoclassicism,American,painter,London
"GADDI, Agnolo",Medieval,Italian,painter,Florence
MASTER of the Aix Annunciation,Northern Renaissance,French,painter,
"FONTANA, Giovanni Battista",Mannerism,Italian,painter,Austria
"UTRECHT, Adriaen van",Baroque,Flemish,painter,
"QUERCIA, Jacopo della",Early Renaissance,Italian,sculptor,Siena
"BICCI, Lorenzo di",Early Renaissance,Italian,painter,Florence
"SCHIAFFINO, Francesco Maria",Baroque,Italian,sculptor,Genoa
"PALISSY, Bernard",Northern Renaissance,French,potter,
"ADLER, Salomon",Baroque,German,painter,Milan
GIOVANNI ANGELO D'ANTONIO,Early Renaissance,Italian,painter,Camerino
"VECCHIA, Pietro della",Baroque,Italian,painter,Venice
PIERMATTEO D'AMELIA,Early Renaissance,Italian,painter,
"RESTOUT, Jean II",Baroque,French,painter,
"VECCHI, Giovanni de'",Mannerism,Italian,painter,Rome
"ROLLI, Antonio",Baroque,Italian,painter,Bologna
"MAN, Cornelis de",Baroque,Dutch,painter,Delft
SCARPAGNINO,High Renaissance,Italian,architect,Venice
"DUCREUX, Rose-Adélaide",Rococo,French,painter,
"SON, Joris van",Baroque,Flemish,painter,
"BAERZ, Jacques de",Medieval,French,sculptor,Dijon
"CAPPELLE, Jan van de",Baroque,Dutch,painter,Amsterdam
"TORELLI, Felice",Baroque,Italian,painter,Bologna
"JALEY, Jean-Louis-Nicolas",Neoclassicism,French,sculptor,Paris
SEGNA DI BUONAVENTURE,Medieval,Italian,painter,Siena
"SIMONINI, Francesco",Baroque,Italian,painter,Venice
"FRIESS, Joachim",Baroque,German,goldsmith,Augsburg
"BEECHEY, Sir William",Neoclassicism,English,painter,London
MASTER of Frankfurt,Northern Renaissance,Flemish,painter,Antwerp
TANZIO DA VARALLO,Baroque,Italian,painter,
"VERELST, William",Rococo,Dutch,painter,London
"ALINCBROT, Louis",Northern Renaissance,Flemish,painter,Valencia
GIOVANNI DA MILANO,Medieval,Italian,painter,
"BEHAM, Hans Sebald",Northern Renaissance,German,painter,
"PASQUETTI, Fortunato",Rococo,Italian,painter,Venice
"VINCKBOONS, David",Baroque,Flemish,painter,Amsterdam
MASTER Bertram,Medieval,German,painter,Hamburg
GUGLIELMO VENEZIANO,Medieval,Italian,painter,Venice
"BRUSASORCI, Domenico",High Renaissance,Italian,painter,Verona
"LE LORRAIN, Robert",Baroque,French,sculptor,Paris
"LEOPARDI, Alessandro",Early Renaissance,Italian,sculptor,Venice
REMBRANDT Harmenszoon van Rijn,Baroque,Dutch,painter,Amsterdam
LEONARDO da Vinci,Early Renaissance,Italian,painter,
"COOPER, Thomas Sidney",Romanticism,English,painter,London
"VERNET, Carle",Neoclassicism,French,painter,Paris
"QUERFURT, August",Baroque,German,painter,Vienna
"THORNHILL, Sir James",Baroque,English,painter,
"LUCHIAN, ªtefan",Impressionism,Other,painter,Bucharest
"FENDI, Peter",Romanticism,Austrian,painter,Vienna
"GILLIS, Nicolaes",Baroque,Dutch,painter,Haarlem
"GRASDORP, Willem",Baroque,Dutch,painter,
"BOL, Hans",Mannerism,Flemish,painter,
"HOGHENZOON, Jan Geldolfs",Northern Renaissance,Netherlandish,goldsmith,Breda
"VIANEN, Paulus van",Baroque,Dutch,goldsmith,Prague
BERNARDINO DEL SIGNORACCIO,Early Renaissance,Italian,painter,Pistoia
"KOBELL, Jan II",Neoclassicism,Dutch,painter,
"GIRALDI, Guglielmo",Early Renaissance,Italian,illuminator,Ferrara
"TOMÉ, Narciso",Baroque,Spanish,architect,Toledo
"WATTEAU, Jean-Antoine",Rococo,French,painter,Paris
"MARTINELLI, Giovanni",Baroque,Italian,painter,Florence
"PISANO, Andrea",Medieval,Italian,sculptor,
"SEISENEGGER, Jacob",Mannerism,Austrian,painter,
"POULAKIS, Theodoros",Baroque,Greek,painter,
"MONSIAU, Nicolas-André",Neoclassicism,French,painter,Paris
"WITTMER, Johann Michael",Romanticism,German,painter,
MASTER of the Aix-en-Chapel Altarpiece,Northern Renaissance,French,painter,
"DEFERNEX, Jean-Baptiste",Rococo,French,sculptor,Paris
"BONDOL, Jean",Medieval,Netherlandish,illuminator,Paris
"DROST, Willem",Baroque,Dutch,painter,Amsterdam
"BEZZI, Giovanni Francesco",Mannerism,Italian,painter,Bologna
"VOUET, Simon",Baroque,French,painter,
"MEI, Bernardino",Baroque,Italian,painter,Rome
"DALENS, Dirck III",Rococo,Dutch,painter,Amsterdam
"NASMYTH, Patrick",Romanticism,Scottish,painter,London
"COSSIERS, Jan",Baroque,Flemish,painter,Antwerp
"DANDRIDGE, Bartholomew",Rococo,English,painter,London
"CAVRIOLI, Francesco",Baroque,Italian,sculptor,Venice
"DIETRICH, Christian Wilhelm Ernst",Baroque,German,painter,Dresden
"GELDORP, Gortzius",Baroque,Flemish,painter,Cologne
"BOTTICELLI, Sandro",Early Renaissance,Italian,painter,Florence
"VERMEYEN, Jan Cornelisz.",Northern Renaissance,Dutch,painter,Brussels
"HOUASSE, Michel-Ange",Rococo,French,painter,
"VIGNON, Victor Alfred Paul",Impressionism,French,painter,
"KALF, Willem",Baroque,Dutch,painter,Amsterdam
"GAMBELLO, Antonio di Marco",Early Renaissance,Italian,architect,Venice
"LOO, Frans van",Baroque,Flemish,sculptor,Mechelen
"FLEGEL, Georg",Baroque,German,painter,Frankfurt
"BRAY, Joseph de",Baroque,Dutch,painter,Haarlem
"MONNOYER, Jean-Baptiste",Baroque,French,painter,
"VERBOECKHOVEN, Eugène-Joseph",Romanticism,Belgian,painter,Brussels
"TRUMBULL, John",Neoclassicism,American,painter,
"CIARDI, Guglielmo",Realism,Italian,painter,Venice
"AGRATE, Gian Francesco Ferrari d'",High Renaissance,Italian,sculptor,Parma
"HUGUET, Jaume",Early Renaissance,Catalan,painter,Barcelona
"FASOLO, Giovanni Antonio",Mannerism,Italian,painter,
"HUBER, Wolf",Northern Renaissance,German,painter,
"MIERIS, Frans van, the Younger",Baroque,Dutch,painter,Leiden
"PILOTY, Karl Theodor von",Realism,German,painter,Munich
"COQUES, Gonzales",Baroque,Flemish,painter,Antwerp
"SANGALLO, Giuliano da",High Renaissance,Italian,architect,Florence
"BOSSCHAERT, Jan-Baptist",Baroque,Flemish,painter,Antwerp
"BELLECHOSE, Henri",Northern Renaissance,French,painter,Burgundy
"TACCA, Pietro",Baroque,Italian,sculptor,Florence
ANTONIO DA NEGROPONTE,Early Renaissance,Italian,painter,Venice
"BOEYERMANS, Theodor",Baroque,Flemish,painter,Antwerp
"TAMAGNI, Vincenzo",High Renaissance,Italian,painter,San Gimignano
"BARTHEL, Melchior",Baroque,German,sculptor,Venice
PALMA VECCHIO,High Renaissance,Italian,painter,Venice
"SCHOOR, Aelbert Jansz. van der",Baroque,Dutch,painter,Utrecht
MASTER of the Registrum Gregorii,Medieval,German,illuminator,Trier
"TOCQUÉ, Louis",Baroque,French,painter,
"MULLER, Jan Harmensz.",Baroque,Dutch,painter,Amsterdam
"BEGEYN, Abraham Jansz.",Baroque,Dutch,painter,
MICHELOZZO DI BARTOLOMEO,Early Renaissance,Italian,architect,Florence
"MAKOVSKY, Aleksandr Vladimirovich",Realism,Russian,painter,Moscow
"BABUREN, Dirck van",Baroque,Dutch,painter,Utrecht
"VELA, Vincenzo",Realism,Swiss,sculptor,Italy
"LECOMTE, Félix",Neoclassicism,French,sculptor,Paris
"CHODOWIECKI, Daniel Nikolaus",Rococo,Polish,painter,Berlin
"RIGAUD, Hyacinthe",Baroque,French,painter,Paris
"LENCKHARDT, Adam",Baroque,German,sculptor,
"REBELL, Joseph",Romanticism,Austrian,painter,Munich
"PLATZER, Johann Nepomuk",Rococo,Bohemian,sculptor,Prague
"HEINTZ, Joseph the Elder",Mannerism,Swiss,painter,Prague
"EECKHOUT, Gerbrand van den",Baroque,Dutch,painter,Amsterdam
GIOVANNI AGOSTINO DA LODI,Early Renaissance,Italian,painter,
"BALDUNG GRIEN, Hans",Northern Renaissance,German,painter,
"SEYMOUR, James",Rococo,English,painter,London
"SCHADOW, Ridolfo",Neoclassicism,German,sculptor,
MASTER of the Housebook,Northern Renaissance,German,painter,Mainz
"GUARINO, Francesco",Baroque,Italian,painter,Solofra
"RESTOUT, Jean-Bernard",Rococo,French,painter,Paris
"PREDIS, Cristoforo de",Early Renaissance,Italian,illuminator,Milan
"VELDE, Peter van den",Baroque,Flemish,painter,Antwerp
"ZIMMERMANN, Carl Friedrich",Romanticism,German,painter,Berlin
"LEITCH, William Leighton",Romanticism,Scottish,painter,London
"VROOM, Cornelis Hendricksz. the Younger",Baroque,Dutch,painter,Haarlem
"GILPIN, William Sawrey",Romanticism,English,painter,
"LOO, Carle van",Baroque,French,painter,
"DECAMPS, Alexandre Gabriel",Romanticism,French,painter,
"BRUYN, Barthel",Northern Renaissance,German,painter,Cologne
"WORLIDGE, Thomas",Baroque,English,painter,London
"DELEN, Dirck van",Baroque,Dutch,painter,
"KRAFFT, Johann Peter",Romanticism,Austrian,painter,
MASTER ARNT of Kalkar,Northern Renaissance,Netherlandish,painter,Kalkar
"GABRIEL, Ange-Jacques",Baroque,French,architect,Paris
"ZIEM, Félix",Realism,French,painter,
"CUGNOT, Louis-Léon",Realism,French,sculptor,
"DEMIN, Giovanni",Romanticism,Italian,painter,
"SCHREYER, Christian Adolf",Realism,German,painter,
"AUGUSTIN, Jean-Baptiste-Jacques",Rococo,French,miniaturist,
"LANINO, Bernardino",High Renaissance,Italian,painter,Vercelli
"VALCKENBORCH, Frederik van",Baroque,Flemish,painter,
"LEFÈVRE, Robert",Neoclassicism,French,painter,
"PALLADIO, Andrea",High Renaissance,Italian,architect,
BACCHIACCA,High Renaissance,Italian,painter,Florence
MASTER of the Tegernsee Passion,Northern Renaissance,German,painter,
MASTER of Elsloo,Northern Renaissance,Netherlandish,sculptor,Limburg
"BERCKHEYDE, Gerrit Adriaensz.",Baroque,Dutch,painter,Haarlem
"THIRY, Léonard",Mannerism,Flemish,painter,Fontainebleau
"BOLTRAFFIO, Giovanni Antonio",Early Renaissance,Italian,painter,Milan
"BUESEM, Jan Jansz.",Baroque,Dutch,painter,Amsterdam
"ASSERETO, Gioachino",Baroque,Italian,painter,Genoa
MASTER of the Trebon Altarpiece,Medieval,Bohemian,painter,
"BLONDEL, Merry-Joseph",Neoclassicism,French,painter,Paris
"COCK, Paul de",Rococo,Flemish,painter,Bruges
"RAMBERG, Arthur Georg von",Realism,Austrian,painter,Munich
"SMART, John",Rococo,English,miniaturist,London
"TURCHI, Alessandro",Baroque,Italian,painter,Verona
"MACCARI, Cesare",Realism,Italian,painter,
"SALVADOR CARMONA, Luis",Baroque,Spanish,sculptor,
"MASSARI, Giorgio",Baroque,Italian,architect,Venice
"KEY, Adriaen Thomasz",Mannerism,Flemish,painter,Antwerp
"FRANCKEN, Hieronymus, I",Mannerism,Flemish,painter,Fontainebleau
"SZÉKELY, Bertalan",Realism,Hungarian,painter,
"MARSEUS VAN SCHRIECK, Otto",Baroque,Dutch,painter,Amsterdam
"NASINI, Giuseppe Nicola",Baroque,Italian,painter,Siena
"RAMIREZ, Felipe",Baroque,Spanish,painter,Toledo
"TEMPEL, Abraham van den",Baroque,Dutch,painter,Amsterdam
"CLÈVE, Corneille van",Baroque,French,sculptor,Paris
"FERNANDES, Vasco",High Renaissance,Portuguese,painter,Viseu
"ANGUIER, Michel",Baroque,French,sculptor,
"DANDRÉ-BARDON, Michel-François",Baroque,French,painter,
"RUBLYOV, Andrey",Medieval,Russian,painter,Moscow
"VACCARO, Lorenzo",Baroque,Italian,sculptor,Naples
"OUWATER, Isaak",Rococo,Dutch,painter,Amsterdam
"DIANA, Benedetto",High Renaissance,Italian,painter,Venice
"COLLIER, Edwart",Baroque,Dutch,painter,
"GRIFFIER, Jan I",Baroque,Dutch,painter,London
"MICHELI, Parrasio",Mannerism,Italian,painter,Venice
"RAVESTEYN, Hubert van",Baroque,Dutch,painter,Dordrecht
"CARLONE, Giovanni Battista II",Baroque,Italian,sculptor,Passau
"BASSANO, Francesco",Mannerism,Italian,painter,Venice
"MORET, Henry",Impressionism,French,painter,Brittany
"SHCHEDRIN, Sil'vestr Fedosyevich",Romanticism,Russian,painter,Italy
"MOREAU, Gustave",Realism,French,painter,Paris
"VIGRI, Caterina",Early Renaissance,Italian,painter,Bologna
"FISCHER, Johann Martin",Rococo,German,sculptor,
"SILOE, Diego de",High Renaissance,Spanish,sculptor,
"KNIJFF, Wouter",Baroque,Dutch,painter,Haarlem
"CHAMPAIGNE, Philippe de",Baroque,French,painter,
"AERTSEN, Pieter",Northern Renaissance,Netherlandish,painter,Amsterdam
"MOR VAN DASHORST, Anthonis",Mannerism,Flemish,painter,
"ORIOLI, Pietro di Francesco degli",Early Renaissance,Italian,painter,Siena
"CARACCIOLO, Giovanni Battista",Baroque,Italian,painter,Naples
MASTER of the Isaac Stories,Medieval,Italian,painter,Assisi
TINTORETTO,Mannerism,Italian,painter,Venice
"VOSMAER, Jacob Woutersz",Baroque,Dutch,painter,Delft
"MACCHIETTI, Girolamo",Mannerism,Italian,painter,Florence
"VOS, Cornelis de",Baroque,Flemish,painter,Antwerp
"OMMEGANCK, Balthazar Paul",Rococo,Flemish,painter,Antwerp
"JENSEN, Christian Albrecht",Realism,Danish,painter,
"HEUSCH, Jacob de",Baroque,Dutch,painter,
"DUPRÉ, Julien",Realism,French,painter,Paris
"NAVARRETE, Juan Fernández de",Mannerism,Spanish,painter,
"GERMAIN, François-Thomas",Rococo,French,goldsmith,Paris
"HEEREMANS, Thomas",Baroque,Dutch,painter,Haarlem
"MAIANO, Giuliano da",Early Renaissance,Italian,architect,
"WITZ,Konrad",Northern Renaissance,Swiss,painter,Basle
"CRÉPIN, Louis Philippe",Romanticism,French,painter,Paris
"TRUBETZKOY, Prince Paolo",Realism,Italian,sculptor,
"BOELEMA DE STOMME, Maerten",Baroque,Dutch,painter,Haarlem
"ROTTMANN, Carl",Romanticism,German,painter,
"WYATT, Matthew Cotes",Realism,English,sculptor,London
"GORDON, John Watson",Realism,Scottish,painter,Edinburgh
"GORDEYEV, Fyodor Gordeyevich",Neoclassicism,Russian,sculptor,St. Petersburg
"RAVESTEYN, Jan Antonisz. van",Baroque,Dutch,painter,The Hague
"VEERENDAEL, Nicolaes van",Baroque,Flemish,painter,Antwerp
"ROOME, Jan van",Northern Renaissance,Flemish,painter,Brussels
"DYCK, Sir Anthony van",Baroque,Flemish,painter,
"VRIES, Adriaen de",Mannerism,Dutch,sculptor,Prague
"GÉRICAULT, Théodore",Romanticism,French,painter,
"GONZÁLEZ VELÁZQUEZ, Antonio",Rococo,Spanish,painter,Madrid
"ZUCCARO, Taddeo",Mannerism,Italian,painter,Rome
"BENEDETTI, Andries",Baroque,Italian,painter,
PINTURICCHIO,Early Renaissance,Italian,painter,
"JACOBSZ., Dirck",Northern Renaissance,Flemish,painter,
"ESCALANTE, Juan Antonio Frias y",Baroque,Spanish,painter,Madrid
"ECKARDT, Christian Frederik Emil",Realism,Danish,painter,Copenhagen
"BRUEGHEL, Jan the Elder",Mannerism,Flemish,painter,Antwerp
"WET, Jacob Willemsz. de, the Elder",Baroque,Dutch,painter,Haarlem
"LOO, Jacob van",Baroque,Dutch,painter,Amsterdam
"COUSTENS, Pieter",Northern Renaissance,Flemish,painter,
"MEYNIER, Charles",Neoclassicism,French,painter,Paris
"VITTORIA, Alessandro",Mannerism,Italian,sculptor,Venice
"BONNASSIEUX, Jean-Marie Bienaimé",Neoclassicism,French,sculptor,
"SCHOUMAN, Aert",Baroque,Dutch,painter,
"CASSANA, Giovanni Agostino",Baroque,Italian,painter,
"BOUCHARDON, Edme",Neoclassicism,French,sculptor,
"BOSIO, François-Joseph",Neoclassicism,French,sculptor,
"CAMASSEI, Andrea",Baroque,Italian,painter,Rome
"HONDIUS, Abraham Danielsz.",Baroque,Dutch,painter,London
"VIEIRA, Jacinto",Baroque,Portuguese,sculptor,
MASTER of Budapest,Early Renaissance,Spanish,painter,Castile
"KRØYER, Peter Severin",Realism,Danish,painter,Skagen
"BLONDEEL, Lanceloot",Northern Renaissance,Flemish,painter,
"MAITANI, Lorenzo",Medieval,Italian,sculptor,Orvieto
"PACE DEL CAMPIDOGLIO, Michele",Baroque,Italian,painter,Rome
"COESSAET, Jan",Mannerism,Flemish,painter,Mechelen
"DIRCKSZ, Adam",Northern Renaissance,Flemish,sculptor,
"AAGAARD, Carl Frederik",Realism,Danish,painter,Copenhagen
"SAINT-QUENTIN, Jacques-Philip-Joseph de",Rococo,French,painter,
"MAHU, Cornelis",Baroque,Flemish,painter,Antwerp
"SCHÖDLBERGER, Johann Nepomuk",Romanticism,Austrian,painter,Vienna
"RESCHI, Pandolfo",Baroque,Polish,painter,Florence
MASTER of Bigallo,Medieval,Italian,painter,Florence
"DUBBELS, Hendrik Jakobsz.",Baroque,Dutch,painter,Amsterdam
"LOARTE, Alejandro de",Baroque,Spanish,painter,Toledo
"VERHEYEN, Jan Hendrik",Romanticism,Dutch,painter,Utrecht
"OS, Jan van",Rococo,Dutch,painter,The Hague
"LANDSEER, Sir Edwin Henry",Romanticism,English,painter,London
"BONZI, Pietro Paolo",Baroque,Italian,painter,Rome
"DESUBLEO, Michele",Baroque,Flemish,painter,Italy
"GIGANTE, Giacinto",Romanticism,Italian,painter,Naples
"SILVANI, Gherardo",Baroque,Italian,architect,Florence
"CHAMPAIGNE, Jean-Baptiste de",Baroque,French,painter,Paris
"BERENTZ, Christian",Baroque,German,painter,Rome
"EVERDINGEN, Caesar van",Baroque,Dutch,painter,
"VINCKENBRINCK, Albert Jansz.",Baroque,Dutch,sculptor,Amsterdam
"LONGHI, Barbara",Mannerism,Italian,painter,Ravenna
"VASSÉ, Louis-Claude",Rococo,French,sculptor,Paris
"ARELLANO, Juan de",Baroque,Spanish,painter,Madrid
"WAEL, Cornelis de",Baroque,Flemish,painter,Rome
MASTER of the Pesaro Crucifix,Medieval,Italian,painter,Venice
"OUDRY, Jean-Baptiste",Baroque,French,painter,
"BRAND, Christian Hilfgott",Rococo,Austrian,painter,Vienna
"GIGOLA, Giambattista",Romanticism,Italian,painter,
"CODUSSI, Mauro",High Renaissance,Italian,architect,Venice
"MAGGIOTTO, Domenico",Rococo,Italian,painter,Venice
"DAVID, Gerard",Northern Renaissance,Flemish,painter,Bruges
"SUSTRIS, Friedrich",Mannerism,Dutch,painter,Bavaria
"MAKOVSKY, Konstantin Yegorovich",Realism,Russian,painter,Moscow
"ANGRAND, Charles",Impressionism,French,painter,
"SCHOOTEN, Floris Gerritsz. van",Baroque,Dutch,painter,Haarlem
"ENDER, Johann",Romanticism,Austrian,painter,
"FERNÁNDEZ, Juan",Baroque,Spanish,painter,
"LAMBERT, George",Baroque,English,painter,London
"VICENTINO, Andrea",Mannerism,Italian,painter,Venice
"KLODT, Pyotr Karlovich",Romanticism,Russian,sculptor,St. Petersburg
"TARBELL, Edmund Charles",Impressionism,American,painter,
"BRONCHORST, Johannes van",Baroque,Dutch,painter,
"STANZIONE, Massimo",Baroque,Italian,painter,Naples
"PASINELLI, Lorenzo",Baroque,Italian,painter,Bologna
"RYSBRACK, Pieter Andreas",Baroque,Flemish,painter,London
"BORROMINI, Francesco",Baroque,Italian,architect,Rome
"COLLANTES, Francisco",Baroque,Spanish,painter,Madrid
"BONAZZA, Giovanni",Baroque,Italian,sculptor,Padua
"BAMBINI, Nicolò",Baroque,Italian,painter,Venice
"PERRONNEAU, Jean-Baptiste",Baroque,French,painter,
"BOGAERT, Jan",Northern Renaissance,Flemish,potter,Antwerp
"CLOUET, François",Mannerism,French,painter,
NEROCCIO DE' LANDI,Early Renaissance,Italian,painter,Siena
"JACQUE, Charles Émile",Realism,French,painter,Barbizon
"GIJSBRECHTS, Cornelis Norbertus",Baroque,Flemish,painter,Copenhagen
"BERGLER, Joseph the Elder",Rococo,Austrian,sculptor,
"GUDIN, Théodore",Romanticism,French,painter,Paris
"WHEATLEY, Francis",Rococo,English,painter,London
"BASSA, Ferrer",Medieval,Catalan,painter,Barcelona
"TERILLI, Francesco",Baroque,Italian,sculptor,Feltre
MASOLINO da Panicale,Early Renaissance,Italian,painter,Florence
"PERCY, Sidney Richard",Realism,English,painter,London
"SUZOR-COTÉ, Marc Aurèle de Foy",Impressionism,Other,painter,
"WILKIE, Sir David",Romanticism,Scottish,painter,
"SERODINE, Giovanni",Baroque,Italian,painter,Rome
"VOS, Jan de",Mannerism,Dutch,goldsmith,
"FUMIANI, Giovanni Antonio",Baroque,Italian,painter,Venice
"FORTE, Luca",Baroque,Italian,painter,Naples
"GUILLAUME, Jean-Baptiste-Claude-Eugène",Neoclassicism,French,sculptor,
"AYALA, Josefa de",Baroque,Portuguese,painter,Óbidos
"SCHARDT, Johann Gregor van der",Baroque,Netherlandish,sculptor,
"COSTER, Arent",Northern Renaissance,Netherlandish,goldsmith,Amsterdam
"SÉRUSIER, Paul",Impressionism,French,painter,
"SCHOLDERER, Otto Franz",Realism,German,painter,
"TAMM, Franz Werner von",Baroque,German,painter,
"RAMSAY, Allan",Rococo,Scottish,painter,
GUALTIERO PADOVANO,High Renaissance,Italian,painter,Padua
AGNOLO DI POLO,Early Renaissance,Italian,sculptor,Florence
"CERQUOZZI, Michelangelo",Baroque,Italian,painter,Rome
"VOGEL VON VOGELSTEIN, Carl Christian",Romanticism,German,painter,
"DEBUCOURT, Philibert-Louis",Rococo,French,painter,Paris
"CONSTANTINI, Ermenegildo",Rococo,Italian,painter,
"MAINO, Giovanni Angelo del",High Renaissance,Italian,sculptor,Pavia
"FABRITIUS, Carel",Baroque,Dutch,painter,Delft
"BLOCH, Carl Heinrich",Realism,Danish,painter,Copenhagen
"CHEERE, Sir Henry",Rococo,English,sculptor,London
"PUCCINELLI, Antonio",Realism,Italian,painter,Florence
CLAUS DE WERVE,Medieval,Netherlandish,sculptor,
"BENOUVILLE, Jean-Achille",Realism,French,painter,Paris
"LOO, Jean-Baptiste van",Baroque,French,painter,
"SHCHEDRIN, Semyon Fyodorovich",Neoclassicism,Russian,painter,St. Petersburg
MASTER of 1416,Early Renaissance,Italian,painter,Florence
"BON, Bartolomeo",Early Renaissance,Italian,architect,
"LAGRENÉE, Louis-Jean-François",Rococo,French,painter,
MASTER of Hoogstraeten,Northern Renaissance,Flemish,painter,
"BERJON, Antoine",Romanticism,French,painter,
"BEERSTRATEN, Jan Abrahamsz.",Baroque,Flemish,painter,Amsterdam
"ORRENTE, Pedro",Baroque,Spanish,painter,Valencia
"VERWER, Abraham de",Baroque,Dutch,painter,Amsterdam
"GEMITO, Vincenzo",Realism,Italian,sculptor,Naples
"DANTI, Vincenzo",Mannerism,Italian,sculptor,Florence
"BOBADILLA, Jerónimo de",Baroque,Spanish,painter,Seville
"BROUWER, Gerloff",Baroque,Dutch,goldsmith,Amsterdam
"LEYTENS, Gysbrecht",Baroque,Flemish,painter,Antwerp
"TOURNIER, Nicolas",Baroque,French,painter,Rome
"FONTANA, Carlo",Baroque,Italian,architect,Rome
"CLEVE, Joos van",Northern Renaissance,Flemish,painter,Antwerp
"NUVOLONE, Panfilo",Mannerism,Italian,painter,Milan
"COLONNA, Angelo Michele",Baroque,Italian,painter,
"PELLEGRINI, Girolamo",Baroque,Italian,painter,Rome
"CATENA, Vincenzo",High Renaissance,Italian,painter,Venice
"MOMMERS, Hendrick",Baroque,Dutch,painter,Amsterdam
"PAGANI, Paolo",Baroque,Italian,painter,
MASTER of the Legend of Saint Catherine,Northern Renaissance,Flemish,painter,Brussels
"MUTTONI, Francesco",Baroque,Italian,architect,Vicenza
"KELLER, Heinrich",Neoclassicism,Swiss,sculptor,
"TORELLI, Matteo di Filippo",Early Renaissance,Italian,illuminator,Florence
"MAIANO, Benedetto da",Early Renaissance,Italian,sculptor,Florence
"LOPES, Cristovano",High Renaissance,Portuguese,painter,
"SPEECKAERT, Hans",Mannerism,Flemish,painter,Rome
"CARRIERA, Rosalba",Baroque,Italian,painter,Venice
"JOSEPH, Samuel",Baroque,English,sculptor,
"ANTELAMI, Benedetto",Medieval,Italian,sculptor,Parma
"WEYDEN, Rogier van der",Northern Renaissance,Flemish,painter,Brussels
"BOLLANDT, Heinrich",Baroque,German,painter,Bayreuth
"MOSTAERT, Gillis",Baroque,Flemish,painter,Antwerp
"POPPI, Francesco",Mannerism,Italian,painter,Florence
"TILLOT, Charles Victor",Realism,French,painter,Paris
"ZANCHI, Antonio",Baroque,Italian,painter,Venice
"WILLEMS, Florent Joseph Marie",Realism,Belgian,painter,Paris
"HESS, Peter von",Romanticism,German,painter,Munich
