Ime,Obdobje,Narodnost,Smer,Kraj
"LUTTICHUIJS, Isaac",Baroque,Dutch,painter,Amsterdam
"VACCARO, Andrea",Baroque,Italian,painter,Naples
"ERIKSEN, Vigilius",Rococo,Danish,painter,
"BOUT, Pieter",Baroque,Flemish,painter,Brussels
"DANDINI, Cesare",Baroque,Italian,painter,Florence
JACQUEMART DE HESDIN,Medieval,French,illuminator,
CECCO DI PIETRO,Medieval,Italian,painter,Pisa
"RICHTER, Adrian Ludwig",Romanticism,German,painter,
"DUPUYS, Pierre",Baroque,French,painter,
"RAGGI, Antonio",Baroque,Italian,sculptor,Rome
"BURG, Adriaan van der",Baroque,Dutch,painter,Dordrecht
"PROCACCINI, Carlo Antonio",Mannerism,Italian,painter,Milan
MARIO DEI FIORI,Baroque,Italian,painter,Rome
"HABERT, François",Baroque,French,painter,Paris
"MOITTE, Jean-Guillaume",Neoclassicism,French,sculptor,
"RIDOLFI, Carlo",Baroque,Italian,painter,Venice
FRANCESCO DEL BORGO,Early Renaissance,Italian,architect,Rome
"VERELST, Herman Pietersz.",Baroque,Dutch,painter,
"INGRES, Jean-Auguste-Dominique",Neoclassicism,French,painter,
JACOPO DELLA PILA,Early Renaissance,Italian,sculptor,Naples
"CHURCH, Frederic Edwin",Romanticism,American,painter,
"KONINCK, Salomon",Baroque,Dutch,painter,Amsterdam
"BLIECK, Daniel de",Baroque,Dutch,painter,Middelburg
"POLLET, Joseph-Michel-Ange",Neoclassicism,Italian,sculptor,
"FARGUE, Paulus Constantijn La",Rococo,Dutch,painter,The Hague
"VEYRIER, Cristophe",Baroque,French,sculptor,
"FROST, William Edward",Romanticism,English,painter,London
"RAGUENET, Nicolas-Jean-Baptiste",Rococo,French,painter,Paris
"HEINTZ, Joseph the Younger",Baroque,Swiss,painter,Venice
"BRIDELL, Frederick Lee",Realism,English,painter,Southampton
MASTER of the Life of Saint John the Baptist,Medieval,Italian,painter,Rimini
"VISCHER, Peter the Elder",Northern Renaissance,German,sculptor,Nuremberg
CRISTOFORO DI GEREMIA,Early Renaissance,Italian,sculptor,Rome
"GIUSTI, Antonio",High Renaissance,Italian,sculptor,
"LANGLOIS, Jérôme-Martin",Neoclassicism,French,painter,Paris
"BELIN DE FONTENAY, Jean-Baptiste",Baroque,French,painter,Paris
"PANDOLFINI, Giuliano di Pietro",Baroque,Italian,sculptor,Prague
"GUAS, Juan",Early Renaissance,French,architect,Toledo
"NONNOTTE, Donat",Rococo,French,painter,Lyon
JACOPO del CASENTINO,Medieval,Italian,painter,Florence
"MOLINERI, Giovanni Antonio",Mannerism,Italian,painter,Piedmont
"ADEMOLLO, Luigi",Neoclassicism,Italian,painter,Florence
"BURGKMAIR, Hans",Northern Renaissance,German,painter,Augsburg
"DUPRÉ, Louis",Romanticism,French,painter,
"LIOTARD, Étienne",Baroque,Swiss,painter,
"SPADARINO, lo",Baroque,Italian,painter,Rome
"RIED, Benedikt",Medieval,German,architect,Prague
"WATERHOUSE, John William",Realism,English,painter,
"CRIVELLI, Vittore",Early Renaissance,Italian,painter,Venice
ANDREA di Vanni d'Andrea,Medieval,Italian,painter,Siena
"COURBET, Gustave",Realism,French,painter,
"FANCELLI, Cosimo",Baroque,Italian,sculptor,Rome
"SANGUIGNI, Battista di Biagio",Early Renaissance,Italian,illuminator,Florence
"BOR, Paulus",Baroque,Dutch,painter,Amersfoort
"COZENS, John Robert",Rococo,English,painter,
"BOCANEGRA, Pedro Anastasio",Baroque,Spanish,painter,Granada
"WILDENS, Jan",Baroque,Flemish,painter,Antwerp
"GALLIARI, Fabrizio",Rococo,Italian,painter,
"ORDÓÑEZ, Bartolomé",High Renaissance,Spanish,sculptor,
"SCHUPPEN, Jacques van",Baroque,French,painter,Vienna
