Ime_slikarja,Narodnost,Smer,Letnice_kraj
"PATON, Sir Joseph Noel",Scottish,painter,"b. 1821, Dunfermline, d.1901, Edinburgh"
"PITTONI, Giambattista","Italian painter, Venetian",school,"b. 1687, Venezia, d. 1767, Venezia"
"LECOMTE, Hippolyte",French painter and ballet,designer,"b. 1781, Puiseaux, d. 1857, Paris"
"BARTOLINI, Lorenzo",Italian,sculptor,"b. 1777, Savignano, d. 1850, Firenze"
"FIGINO, Giovanni Ambrogio","Italian painter, Lombard",school,"b. 1548, Milano, d. 1608, Milano"
"NOËL, Alexandre-Jean",French,painter,"b. 1752, Brie-Comte-Robert, d. 1834, Paris"
"KAUFFMANN, Angelica",Swiss,painter,"b. 1741, Chur, d. 1807, Roma"
"PERRY, Lilla Cabot",American,painter,"b. 1848, Boston, d. 1933, Hancock"
"MONTELUPO, Raffaello da","Italian sculptor, Florentine",school,"b. 1504, Firenze, d. 1566, Orvieto"
"LA THANGUE, Henry Herbert",English,painter,"b. 1859, London, d. 1929, London"
"DANTI, Vincenzo","Italian sculptor, Florentine",school,"b. 1530, Perugia, d. 1576, Perugia"
"RIBOT, Théodule-Augustin",French,painter,"b. 1823, Saint-Nicolas-d'Attez, d. 1891, Colombes"
"MARIS, Matthijs",Dutch,painter,"b. 1839, Den Haag, d. 1917, London"
"STEINLE, Edward Jakob von",Austrian,painter,"b. 1810, Wien, d. 1886, Frankfurt"
"JACQUOT, Georges",French,sculptor,"b. 1794, Nancy, d. 1874, Paris"
"CRUZ, Diego de la",Spanish,painter,documented 1482-1500 in Burgos
"MONI, Louis de",Dutch,painter,"b. 1698, Breda, d. 1771, Leiden"
"SPAENDONCK, Cornelis van",Dutch,painter,"b. 1756, Tilburg, d. 1840, Paris"
ANGELO DA SIENA,"Italian painter, Ferrarese",school,"documented 1447, Ferrara, d. 1456, Ferrara"
"DETAILLE, Jean Baptiste Edouard",French,painter,"b. 1848, Paris, d. 1912, Paris"
"VERELST, William",Dutch,painter,active 1732-1756 in London
"EVERDINGEN, Caesar van",Dutch,painter,"b. 1617, Alkmaar, d. 1678, Alkmaar"
"CAYOT, Claude-Augustin",French,sculptor,"b. 1677, Paris, d. 1722, Paris"
"DADDI, Bernardo","Italian painter, Florentine",school,"b. ca. 1280, Firenze, d. 1348, Firenze"
"TIRALI, Andrea",Italian,architect,"b. 1657, Venezia, d. 1737, Monselice"
"LEBEDA, Otakar",Czech,painter,"b. 1877, Praha, d. 1901, Malé Chuchel"
"GILPIN, William Sawrey",English,painter,"b. 1762, d. 1843, North Yorkshire"
"STUBBS, George",English,painter,"b. 1724, Liverpool, d. 1806, London"
"CISERI, Antonio",Italian,painter,"b. 1821, Ronco Scrivia, d. 1933, Firenze"
"HAYDON, Benjamin Robert",English,painter,"b. 1786, Plymouth, d. 1846, London"
"FÜGER, Friedrich Heinrich",German,painter,"b. 1751, Heilbronn, d. 1818, Wien"
"PARIGI, Alfonso the Younger",Italian,architect,"b. 1606, Firenze, d. 1656, Firenze"
"LANGLOIS, Jérôme-Martin",French,painter,"b. 1779, Paris, d. 1838, Paris"
"CLOVIO, Giulio",Italian,illuminator,"b. 1498, Grizane, d. 1578, Roma"
"CARDUCHO, Vicente",Spanish/Italian,painter,"b. 1576, Firenze, d. 1638, Madrid"
"SEGHERS, Daniel",Flemish,painter,"b. 1590, Antwerpen, d. 1661, Antwerpen"
"ROBERTS, David",Scottish,painter,"b. 1796, Stockbridge, d. 1864, London"
"KNIP, Henriëtte",Dutch,painter,"b. 1821, Amsterdam, d. 1909, Bruxelles"
"SZINYEI MERSE, Pál",Hungarian,painter,"b. 1845, Szinyeújfalu, d. 1920, Jernye"
"ASPETTI, Tiziano",Italian,sculptor,"b. ca. 1559, Padova, d. 1606, Pisa"
"CRANACH, Lucas the Elder",German,painter,"b. 1472, Kronach, d. 1553, Weimar"
"PEDON, Bartolomeo",Italian,painter,"b. 1665, Venezia, d. 1732, Venezia"
"MELZI, Francesco",Italian,painter,"b. 1493, Milano, d. 1570, Milano"
"GUILLAUME, Jean-Baptiste-Claude-Eugène",French,sculptor,"b. 1822, Montbard, d. 1905, Roma"
"BOSIO, Antonio",Maltese,archaeologist,"b. 1575, Malta, d. 1629, Roma"
"METSU, Gabriel",Dutch,painter,"b. 1629, Leiden, d. 1667, Amsterdam"
"BRONDGEEST, Albertus",Dutch painter and,draughtsman,"b. 1786, Amsterdam, d. 1849, Amsterdam"
"MANOPOLA, Bartolomeo",Italian,architect,active 1580-1610 in Venice
"BENSON, Ambrosius",Flemish,painter,"b. ca. 1484, Lombardy, d. 1550, Bruges"
"VOUET, Simon",French,painter,"b. 1590, Paris, d. 1649, Paris"
STEFANO DA ZEVIO,"Italian painter, Veronese",school,"b. ca. 1375, Verona, d. 1451, Verona"
"CRANACH, Lucas the Younger",German,painter,"b. 1515, Wittenberg, d.1586, Weimar"
"BONFIGLI, Benedetto","Italian painter, Umbrian",school,"b. ca. 1420, Perugia, d. 1496, Perugia"
