Ime_slikarja,Narodnost,Smer,Letnice_kraj 
"COCK, Paul de",Flemish,painter,"b. 1724, Brugge, d. 1801, Brugge"
"BURCH, Hendrick van der","Dutch painter, Delft",school,"b. 1627, Naaldwijk, d. after 1666, Leiden"
"CARNERI, Matteo",Italian,sculptor,"b. 1592, Trento, d. 1673, Trentino"
"AERTSEN, Pieter",Flemish,painter,"b. 1508, Amsterdam, d. 1575, Amsterdam"
"HABERLE, John",American painter and,lithographer,"b. 1856, New Haven, d. 1933, New Haven"
"NIGETTI, Matteo",Italian architect and,sculptor,"b. ca. 1565, Firenze, d. 1648, Firenze"
"CAVALLINI, Pietro","Italian painter, Roman",school,active 1273-1308 in Rome
"LÓPEZ, Francisco",Spanish,goldsmith,active 1550 in Lisbon
"MOMPER, Philips de, I",Flemish,painter,"b. 1598, Antwerpen, d. 1634, Antwerpen"
"HOOCH, Pieter de",Dutch,painter,"b. 1629, Rotterdam, d. 1684, Amsterdam"
"TENIERS, Abraham",Flemish,painter,"b. 1629, Antwerpen, d. 1670, Antwerpen"
"CHURRIGUERA, José Benito",Spanish,architect,"b. 1665, Madrid, d. 1725, Madrid"
"FERRATA, Ercole","Italian sculptor, Roman",school,"b. 1610, Como, d. 1686, Roma"
"LUYCKX, Christiaen",Flemish,painter,"b. 1623, Antwerpen, d. after 1657"
"BASTIANI, Lazzaro","Italian painter, Venetian",school,"b. ca. 1430, Venezia, d. ca. 1512, Venezia"
"LÓPEZ Y PORTAÑA, Vicente",Spanish,painter,"b. 1772, Valencia, d. 1850, Madrid"
"PREISLER, Jan",Czech,painter,"b. 1872, Popovice u Berouna, d. 1918, Praha"
"MARIESCHI, Michele","Italian painter, Venetian",school,"b. 1710, Venezia, d. 1743, Venezia"
"INGLÉS, Jorge",Spanish,painter,active c. 1454-1485 in Castile
"DUVET, Jean",French,engraver,"b. ca. 1485, Dijon, d. after 1561, Langres"
"SIMONINI, Francesco","Italian painter, Venetian",school,"b. 1686, Parma, d. ca. 1755, Venezia, or Firenze"
"LUCE, Lucas",Dutch,painter,"b. ca. 1576, Antwerpen, d. 1661, Amsterdam"
BARTOLOMEO DELLA GATTA,"Italian painter, illuminator and",architect,"b. 1448, Firenze, d. 1502, Firenze"
"PUGH, Herbert",Irish,painter,active 1758-1788
BORGHESE DI PIERO BORGHESE,Italian,painter,"b. 1397, Lucca, d. ca. 1463"
"MULIER, Pieter the Elder",Dutch,painter,"b. ca. 1610, Haarlem, d. 1670, Haarlem"
"JONGH, Ludolf de",Dutch,painter,"b. 1616, Overschie, d. 1679, Hillegersberg"
"FOHR, Carl Philipp",German,painter,"b. 1775, Heidelberg, d. 1818, Roma"
"TISCHBEIN, Johann Heinrich the Elder",German,painter,"b. 1722, Haina, d. 1789, Kassel"
"CALS, Adolphe-Félix",French,painter,"b. 1810, Paris, d. 1880, Honfleur"
"PAUDISS, Christoph",German,painter,"b. ca. 1625, Lower Saxony, d. 1666, Freising"
"PALIZZI, Filippo",Italian,painter,"b. 1818, Vasto, d. 1899, Napoli"
"MESSERSCHMIDT, Franz Xaver",Austrian,sculptor,"b. 1736, Wiesensteig, d. 1783, Bratislava"
"CADORIN, Ludovico",Italian,architect,"b. 1824, Venezia, d. 1892, Venezia"
"KONINCK, Salomon",Dutch,painter,"b. 1609, Amsterdam, d. 1656, Amsterdam"
"SLAUGHTER, Stephen",English,painter,"b. 1697, London, d. 1765, London"
"BERCHEM, Nicolaes",Dutch,painter,"b. 1620, Haarlem, d. 1683, Amsterdam"
VALENTIN DE BOULOGNE,French,painter,"b. 1591, Coulommier-en-Brie, d. 1632, Roma"
"AVELINE, Antoine",French,engraver,"b. 1691, Paris, d. 1743, Paris"
NICCOLÒ DI BUONACCORSO,"Italian painter, Sienese",school,"active 1356, d. 1388, Siena"
"PORTA, Antonio della",Italian,sculptor,active 14891519
"SOHLBERG, Harald",Norwegian painter and,printmaker,"b. 1877, Christiania, d. 1935, Oslo"
"CARACCIOLO, Giovanni Battista","Italian painter, Neapolitan",school,"b. 1578, Napoli, d. 1635, Napoli"
GIROLAMO DI BENVENUTO,"Italian painter, Sienese",school,"b. 1470, Siena, d. 1524, Siena"
"VALDÉS LEAL, Juan de","Spanish painter, Seville",school,"b. 1622, Sevilla, d. 1690, Sevilla"
"QUELLINUS, Artus I",Flemish,sculptor,"b. 1609, Antwerpen, d. 1668, Antwerpen"
"LHERMITTE, Léon-Augustin",French,painter,"b. 1845, Gorritz, d. 1916, Paris"
"REGOYOS Y VALDÉS, Dario de",Spanish,painter,"b. 1857, Ribadesella, d. 1913, Barcelona"
PIER FRANCESCO FIORENTINO,Italian,painter,"b. ca. 1444, Firenze, d. ca. 1497, Firenze"
"VIVARINI, Antonio","Italian painter, Venetian",school,"b. ca. 1415, Murano, d. 1476/84, Venezia"
"MASSON, François",French,sculptor,"b. 1745, Lyre, d. 1807, Paris"
GUGLIELMO VENEZIANO,Italian,painter,active 1352-1382 in Venice
"CUYLENBORCH, Abraham van",Dutch,painter,"b. ca. 1610, Utrecht, d. 1658, Utrecht"
"ORRENTE, Pedro","Spanish painter, Valencian",school,"b. ca. 1580, Monte Alegre, d. 1644, Valencia"
"SCHULTZ, Daniel II",Polish painter and,printmaker,"b. ca. 1615, Danzig, d. ca. 1683"
"MAAS, Dirk",Dutch,painter,"b. 1659, Haarlem, d. 1717, Haarlem"
"WILLE, Johann Georg",German,engraver,"b. 1715, Obermühle am Dünsberg, d. 1808, Paris"
"SHCHEDRIN, Feodosy Fyodorovich",Russian,sculptor,"b. 1751, St. Petersburg, d. 1825, St. Petersburg"
"BELLECHOSE, Henri",Flemish,painter,active 1415- 1440
"PEPIJN, Marten",Flemish,painter,"b. 1575, Antwerpen, d. ca. 1643, Antwerpen"
GIOVANNI DA ORIOLO,Italian,paainter,"b. Oriolo, nr Faenza, active 1439, d. ca. 1474, Faenza"
"WINTERHALTER, Josef the Younger",German,painter,"b. 1743, Vöhrenbach, d. 1807, Znojmo"
"LEYSTER, Judith",Dutch,painter,"b. 1609, Haarlem, d. 1660, Heemstede"
"RAFFET, Auguste",French painter and,lithographer,"b. 1804, Paris, d. 1860, Genova"
"DECAMPS, Alexandre Gabriel",French,painter,"b. 1803, Paris, d. 1860, Fontainebleau"
MARCO ROMANO,Italian,sculptor,active c. 1318 in Venice
"MÜLLER, William James",English,painter,"b. 1812, Bristol, d. 1845, Bristol"
THEOPHANES the Cretan,"Greek icon painter, Cretan",school,active 1527-1559
"GRAAT, Barent",Dutch,painter,"b. 1628, Amsterdam, d. 1709, Amsterdam"
"BLOEMEN, Norbert van",Flemish,painter,"b. 1670, Antwerpen, d. ca. 1746, Amsterdam"
"PARROCEL, Joseph",French,painter,"b. 1646, Brignoles, d. 1704, Paris"
"BENAGLIO, Francesco",Italian,painter,"b. ca. 1430, Verona, d. ca. 1492, Verona"
"TORRICELLI, Giuseppe Antonio",Italian,craftsman,"b. 1659, Firenze, d. 1719, Firenze"
"SAFTLEVEN, Herman",Dutch,painter,"b. 1609, Rotterdam, d. 1685, Utrecht"
"MICHAU, Théobald",Flemish,painter,"b. 1676, Doornik, d. 1765, Antwerpen"
"COSTA, Lorenzo the Younger",Italian,painter,"b. 1537, Mantova, d. 1583, Mantova"
"TASSAERT, Jean-Pierre-Antoine",Flemish,sculptor,"b. 1727, Antwerpen, d. 1788, Berlin"
"LIEZEN-MAYER, Sándor",Hungarian,painter,"b. 1839, Gyõr, d. 1898, München"
"RIPANDA, Jacopo",Italian,painter,active 1500-1516
GIROLAMO del Pacchia,"Italian painter, Sienese",school,"b. 1477, Siena, d. after 1533, Siena"
MASTER of Monte Oliveto,Italian,painter,active 1305-1335 in Siena
"BURLAMACCHI, Eufrasia",Italian,illuminator,"b. ca. 1482, Lucca, d. 1548, Lucca"
"TURNER, Joseph Mallord William",English,painter,"b. 1775, London, d. 1851, Chelsea"
"PIRANESI, Giovanni Battista",Italian,printmaker,"b. 1720, Mestre, d. 1778, Roma"
"HEIL, Daniel van",Flemish,painter,"b. 1604, Bruxelles, d. 1662, Bruxelles"
"DIZIANI, Gaspare","Italian painter, Venetian",school,"b. 1689, Belluno, d. 1767, Venezia"
"JACQUAND, Claudius",French,painter,"b. 1803, Lyon, d. 1878, Paris"
"PODESTA, Giovanni Andrea",Italian,painter,"b. 1608, Genova, d. 1674, Genova"
"BLEKER, Gerrit Claesz",Dutch,"painter,","b. ca. 1592, Haarlem, d. 1656, Haarlem"
"COLLIER, Edwart",Dutch,painter,"b. ca. 1640, Breda, d. 1710, Leiden"
"FREY, Johannes Jakob",Swiss,painter,"b. 1813, Basel, d. 1865, Frascati"
"BLOMMENDAEL, Jan",Dutch,sculptor,"b. 1650, Den Haag, d. 1707, Amsterdam"
"CAVELIER, Jules",French,sculptor,"b. 1814, Paris, d. 1894, Paris"
"VITELLI, Luisa",Italian,painter,active 1706-1729 in Florence
"VUILLARD, Édouard",French painter and,decorator,"b. 1868, Cuiseaux, d. 1940, La Baule"
"ROTTENHAMMER, Hans I",German,painter,"b. 1564, München, d. 1625, Augsburg"
"LAEMEN, Christoffel Jacobsz van der",Flemish,painter,"b. ca. 1606, Antwerpen, d. 1651, Antwerpen"
GIOVANNI DI BALDUCCIO,Italian,sculptor,active 1315-1349
"POTTER, Pieter Symonsz.",Dutch,painter,"b. ca. 1598, Enkhuizen, d. 1652, Amsterdam"
"CAPORALI, Bartolomeo","Italian painter, Umbrian",school,"b. ca. 1420, Perugia, d. 1505, Perugia"
"KOROVIN, Konstantin Alekseyevich",Russian,painter,"b. 1861, Moscow, d. 1939, Paris"
"PLEYDENWURFF, Wilhelm",German painter and woodcut,designer,"b. ca. 1460, Nürnberg, d. 1494, Nürnberg"
ANDREA DI NERIO,Italian,painter,"active 1350s, Arezzo, d. before 1387"
"PACETTI, Vincenzo",Italian sculptor and,restorer,"b. 1746, Castel Bolognese, d. 1820, Roma"
"POZZI, Stefano",Italian,painter,"b. 1699, Roma, d. 1768, Roma"
"MELLAN, Claude",French,engraver,"b. 1598, Abbeville, d. 1688, Paris"
GIOVANNI FRANCESCO DA RIMINI,Italian,painter,"b. ca. 1420, Rimini, d. ca. 1470, Bologna"
"GALLE, Philip",Flemish,engraver,"b. 1537, Haarlem, d. 1612, Antwerpen"
"KLODT, Pyotr Karlovich",Russian,sculptor,"b. 1805, St. Petersburg, d. 1867, Gute Khalala, Finland"
"BABOCCIO DA PIPERNO, Antonio",Italian,sculptor,"b. ca. 1351, Piperno, d. 1435"
BERNARDINO DI MARIOTTO DELLO STAGNO,"Italian painter, Umbrian",school,"b. ca. 1478, Perugia, d. 1566, Perugia"
"DEGEN, Endris II",German,goldsmith,active 1555-1583 in Augsburg
"KOPISCH, August",German,painter,"b. 1799, Breslau, d. 1853, Berlin"
"RONDINELLI, Niccolò",Italian,painter,active c. 1490-1510
"MEIT, Conrad",German,sculptor,"b. ca. 1480, Worms, d. 1550, Antwerpen"
"POSI, Paolo",Italian,architect,"b. 1708, Siena, d. 1778, Roma"
MASO DI BARTOLOMMEO,Italian,sculptor,"b. 1406, Capannole, d. ca. 1456, Dalmatia"
"DAUCHER, Adolf",German,sculptor,"b. 1460, Wien, d. 1523, Augsburg"
"BALDOVINETTI, Alessio","Italian painter, Florentine",school,"b. ca.1425, Firenze, d. 1499, Firenze"
"BOZE, Joseph",French,painter,"b. 1745, Martigues, d. 1826, Paris"
"RUSUTI, Filippo",Italian,mosaicist,active c. 1297-1317
"BONAVIA, Carlo","Italian painter, Neapolitan",school,active 1751-1788 in Naples
"BENSON, Willem",Flemish,painter,"b. ca. 1521, Brugge, d. 1574. Middelburg"
"CIPPER, Giacomo Francesco",Austrian,painter,"b. 1664, Feldkirch, d. 1736, Milano"
"MENJAUD, Alexandre",French,painter,"b. 1773, Paris, d. 1832, Paris"
"HOMER, Winslow",American,painter,"b. 1836, Boston, d. 1910, Prouts Neck"
"LEMMEN, Georges",Belgian,painter,"b. 1865, Schaerbeek, d. 1916, Ukkel"
"XAVERY, Pieter",Dutch,sculptor,"b. 1647, Antwerpen, d. ca. 1680, Leiden"
"JACQUET, Mathieu",French,sculptor,"b. ca. 1545, Avon, d. after 1611, Paris"
"NOTTOLINI, Lorenzo",Italian,architect,"b. 1787, Capannori, d. 1851, Lucca"
MASTER of the Avignon School,French,painter,middle of the 15th century
"FERNÁNDEZ, Alejo","Spanish painter, Seville",school,"b. ca. 1475, Cordoba, d. ca. 1545, Granada"
"VIGRI, Caterina",Italian painter and,illuminator,"b. 1413, Bologna, d. 1463, Bologna"
"SERODINE, Giovanni","Italian painter, Roman",school,"b. 1600, Ascona, d. 1630, Roma"
"WEIR, Julian Alden",American,painter,"b. 1852, West Point, d. 1919, New York"
"PIANTA, Francesco",Italian,sculptor,"b. ca. 1634, Venezia, d. 1690, Venezia"
"RENOIR, Pierre-Auguste",French,painter,"b, 1841, Limoges, d. 1919, Cagnes-sur-Mer"
"DOWNMAN, John",English,painter,"b. 1750, Ruabon, d. 1824, Wrexham"
LEONARDO DA PISTOIA,Italian,painter,"b. ca. 1483, Pistoia, d. after 1518, Pistoia"
"VIANI, Domenico Maria",Italian,painter,"b. 1668, Bologna, d. 1711, Bologna"
"MIGNARD, Pierre",French,painter,"b. 1612, Troyes, d. 1695, Paris"
"HOUDON, Jean-Antoine",French,sculptor,"b. 1741, Versailles, d. 1828, Paris"
"CARSTENS, Asmus Jakob",Danish,painter,"b. 1754, Sanct Gürgen, d. 1798, Roma"
"HUPIN, Jacques",French,painter,active in mid-17th century
"LEMOYNE, Jean-Baptiste I",French,sculptor,"b. 1679, Paris, d. 1731, Paris"
"GLEYRE, Charles-Gabriel",Swiss,painter,"b. 1806, Chevilly, d. 1874, Paris"
"NATTIER, Jean-Marc",French,painter,"b. 1685, Paris, d. 1766, Paris"
"CERESA, Carlo",Italian,painter,"b. 1609, San Giovanni Bianco, nr Bergamo, d. 1670, Bergamo"
"TINTORE, Simone del",Italian,painter,"b. 1630, Lucca, d. 1708, Lucca"
"RETHEL, Alfred",German painter/graphic,artist,"b. 1816, Diepenbend, d. 1859, Düsseldorf"
"FLURER, Franz Ignaz",German,painter,"b. 1688, Augsburg, d. 1742, Graz"
"CASTRUCCI, Cosimo",Italian gem,carver,active 1576-1602
"PASSE, Crispijn van de",Netherlandish,printmaker,"b. ca. 1565, Zeeland, d. 1637, Utrecht"
"BLEKER, Dirck Gerritsz",Dutch,"painter,","b. ca. 1621, Haarlem, d. ca. 1679, Den Haag"
"GAUSSON, Léo",French,painter,"b. 1860, Lagny-sur-Marne, d. 1944, Lagny-sur-Marne"
"MEMBERGER, Kaspar the Elder",Swiss,painter,"b. ca. 1555, Konstanz, d. 1618, Konstanz"
"BÜRKEL, Heinrich",German,painter,"b. 1802, Pirmasens, d. 1869, München"
"MARON, Anton von",Austrian,painter,"b. 1733, Wien, d. 1808, Roma"
"ALCIBAR, José de",Mexican,painter,"b. 1725/30, Mexico, d. 1803, Mexico"
GIOTTO di Bondone,"Italian painter, Florentine",school,"b. 1267, Vespignano, d. 1337, Firenze"
"ALENZA Y NIETO, Leonardo",Spanish,painter,"b. 1807, Madrid, d. 1845, Madrid"
"VICO, Enea",Italian,engraver,"b. 1523, Parma, d. 1567, Ferrara"
"MULREADY, William",Irish,painter,"b. 1786, Ennis, d. 1863, London"
"COMMODI, Andrea","Italian painter, Roman",school,"b. 1560, Firenze, d. 1638, Roma"
"HOARE, Prince",English painter and,playwright,"b. 1755, Bath, d. 1834, Brighton"
"BANKS, Thomas",English,sculptor,"b. 1735, London, d. 1805, London"
"HOGENBERG, Frans",Flemish,painter/engraver,"b. ca. 1540, Mechelen, d. ca. 1590, Köln"
"NUVOLONE, Carlo Francesco","Italian painter, Lombard",school,"b. 1609, Milano, d. ca. 1662, Milano"
"MIJTENS, Jan",Dutch,painter,"b. ca. 1614, Den Haag, d. 1670, Den Haag"
"SCHUPPEN, Jacques van",French painter of Flemish,descent,"b. 1670, Fontainebleau, d. 1751, Wien"
"AMERLING, Friedrich von",Austrian,painter,"b. 1803, Wien, d. 1887, Wien"
"DOUVERMAN, Hendrick",Netherlandish,wood-carver,"b. ca. 1490, d. ca. 1543, Kalkar"
"MOSCA, Francesco",Italian,sculptor,"b. ca. 1546, d. 1578, Pisa"
"SUZOR-COTÉ, Marc Aurèle de Foy",Canadian painter and,sculptor,"b.1869, Arthabaska, Québec, d. 1937, Daytona Beach"
"DURET, Francisque-Joseph",French,sculptor,"b. 1804, Paris, d. 1865, Paris"
"KINSOEN, François-Joseph",Flemish,painter,"b. 1771, Bruges, d. 1839, Bruges"
"ZENALE, Bernardo",Italian,painter,"b. 1464, Treviglio, d. 1526, Milano"
"LE PAUTRE, Pierre II",French,sculptor,"b. ca. 1659, Paris, d. 1744, Paris"
"MCNICOLL, Helen Galloway",Canadian,painter,"b. 1879, Toronto, d. 1915, Swanage"
"GHEERAERTS, Marcus the Younger",Flemish,painter,"b. 1561, Brugge, d. ca. 1636, London"
"CORTE, Gabriel de la",Spanish,painter,"b. 1648, Madrid, d. 1694, Madrid"
ADRIANO FIORENTINO,Italian,sculptor,"b. ca. 1455, Firenze, d. 1499, Firenze"
"TENGNAGEL, Jan",Dutch,painter,"b. 1584, Amsterdam, d. 1635, Amsterdam"
"LUTI, Benedetto",Italian,painter,"b. 1666, Firenze, d. 1724, Roma"
MASTER of Avila,"Spanish painter, Avila",school,active in last quarter of 15th century
TIZIANO Vecellio,"Italian painter, Venetian",school,"b. 1490, Pieve di Cadore, d. 1576, Venezia"
"PEYRON, Jean-François-Pierre",French,painter,"b. 1744, Aix-en-Provence, d. 1814, Paris"
"MIJN, George van der",Dutch,painter,"b. 1726/27, London, d. 1763, Amsterdam"
"ZUCCARELLI, Francesco","Italian painter, Venetian",school,"b. 1702, Pitigliano, d. 1788, Firenze"
"BORROMINI, Francesco",Italian,architect,"b. 1599, Bissone, d. 1667, Roma"
"LAGRENÉE, Louis-Jean-François",French,painter,"b. 1724, Paris, d. 1805, Paris"
"FORRESTER, James",Irish,painter,"b. 1730, Dublin, d. 1776, Roma"
"THOMA, Hans",German,painter,"b. 1839, Bernau, d. 1924, Karlsruhe"
"GARNIER, Etienne-Barthélemy",French,painter,"b. 1759, Paris, d. 1849, Paris"
"CONSTANT, Benjamin",French,painter,"b. 1845, Paris, d. 1902, Paris"
"ZARZA, Vasco de la",Spanish,sculptor,"d. 1524, Avila"
"WITHOOS, Matthias",Dutch,painter,"b. 1627, Amersfoort, d. 1703, Hoorn"
"ALTENSTETTER, David",German,goldsmith,"b. ca. 1547, Colmar, d. 1617, Augsburg"
"WASMANN, Friedrich",German,painter,"b. 1805, Hamburg, d. 1886, Meran"
"RUYSDAEL, Salomon van",Dutch,painter,"b. ca. 1602, Naarden, d. 1670, Haarlem"
DOMENICO VENEZIANO,"Italian painter, Florentine",school,"b. ca. 1410, Venezia ?, d. 1461, Firenze ?"
"SCHINKEL, Karl Friedrich",German,architect/painter,"b. 1781, Neuruppin, d. 1841, Berlin"
"LECLERC, Jean",French,painter,"b. ca. 1587, Nancy, d. 1633, Nancy"
"REINHOLD, Heinrich",German,painter,"b. 1788, Gera, d. 1825, Albano"
"DUMONT,  François",French,sculptor,"b. ca. 1687, Paris, d. 1726, Lille"
"JERVAS, Charles",Irish,painter,"b. ca. 1675, Dublin, d. 1739, London"
"SAMOSTRZELNIK, Stanislaw",Polish illuminator and,painter,"b. ca. 1490, Krakow, d. 1541, Mogila"
"NEGROLI, Filippo",Italian,armourer,documented 1525-1551 in Milan
"CONGNET, Gillis",Flemish,painter,"b. ca. 1538, Antwerpen, d. 1599, Hamburg"
"BELLANO, Bartolommeo",Italian,sculptor,"b. 1437, Padova, d. 1496, Padova"
"ANGUISSOLA, Lucia",Italian,painter,"b. 1538, Cremona, d. 1565, Cremona"
"BRESCIANINO, Andrea del",Italian,painter,active 1506-1525 in Siena
"COZZI, Marco di Giampietro",Italian,sculptor,"b. ca. 1420, Vicenza, d. 1485, Vicenza"
"DELANE, Solomon",Irish,painter,"b. ca. 1727, Dublin, d. 1812, Dublin"
"STRIJ, Jacob van","Dutch painter, Dordrecht",school,"b. 1756, Dordrecht, d. 1815, Dordrecht"
"SANSOVINO, Jacopo",Italian,sculptor/architect,"b. 1486, Firenze, d. 1570, Venezia"
MASTER of Hoogstraeten,Flemish,painter,active c. 1490-1530
"RILEY, John",English,painter,"b. 1646, London, d. 1691, London"
AGNOLO DI POLO,Italian,sculptor,"b. ca. 1470, Firenze, d. after 1498"
JEAN DE BEAUMETZ,"French painter, Franco-Flemish",school,"b. ca. 1335, Beaumetz-les-Loges, d. 1396, Dijon"
"WILLIAMS, Edward Charles",English,painter,"b. 1807, London, d. 1881, London"
"RAVESTEYN, Dirck de Quade van",Flemish,painter,active c. 1576-1612
"MOINE, Antonin-Marie",French,sculptor,"b. 1796, Saint-Etienne, d. 1849, Paris"
"STRAUB, Johann Baptist",German,sculptor,"b. 1705, Wiesensteig, d. 1784, München"
"CALAME, Alexandre",Swiss,painter,"b. 1810, Vevey, d. 1864, Menton"
"JOHANSEN, Viggo",Danish,painter,"b. 1851, København, d. 1935, København"
"PHILIPSEN, Theodor Esbern",Danish,painter,"b. 1840, København, d. 1920, København"
"BOUYS, André",French,painter,"b. 1656, Hyères, d. 1740, Paris"
GIOVANNI DI PIAMONTE,Italian,painter,active 1456-1472
"COURTOIS, Martial",French,enameller,"died c. 1592, Limoges"
"ROSSETTI, Biagio",Italian,architect,"b. 1447, Ferrara, d. 1516, Ferrara"
JACOPO DELLA PILA,Italian,sculptor,active 1472-1502 in Naples
"GONÇALVES, Nuno",Portuguese,painter,active 1450-1471
"BERNARD, Émile",French,painter,"b. 1868, Lille, d. 1941, Paris"
"BOR, Paulus",Dutch,painter,"b. 1605, Amersfoort, d. 1669, Amersfoort"
MASTER of Bellaert,Netherlandish,printmaker,active 1483-1487 in Haarlem
"HÜBNER, Julius",German painter and,poet,"b. 1806, Oels, d. 1882, Loschwitz"
"RODE, Bernhard",German painter and,draughtsman,"b. 1725, Berlin, d. 1797, Berlin"
"EERTVELT, Andries van",Flemish,painter,"b. 1590, Antwerpen, d. 1652, Antwerpen"
"WIJCK, Thomas",Dutch,painter,"b. 1616, Beverwijck, d. 1677, Haarlem"
"CROME, John",English painter and,printmaker,"b. 1768, Norwich, d. 1821, Norwich"
"QUESTIERS, Catharina",Dutch poet and,engraver,"b. 1631, Amsterdam, d. 1669, Amsterdam"
"LEONI, Ottavio",Italian,painter,"b. 1578, Roma, d. 1630, Roma"
"KEYSER, Nicolaes",Dutch,silversmith,active 1645-1710 in Delft
"JANSSENS, Jan Willem",Flemish,painter,"b. 1590, Ghent, d. ca. 1650, Ghent"
"REUWICH, Erhard",German woodcutter and,painter,"b. ca. 1455, Utrecht, d. ca. 1490, Mainz"
"FOGOLINO, Marcello",Italian painter and,printmaker,"b. ca. 1485, Vicenza, d. after 1548"
"STRÖHLING, Eduard",German,painter,"b. 1768, Düsseldorf, d. after 1826, London"
"FLAMENG, François",French painter and,illustrator,"b. 1856, Paris, d. 1923, Paris"
PSEUDO-PIER FRANCESCO FIORENTINO,"Italian painter, Florentine",school,active 1460-1500 in Florence
"LALLEMANT, Georges",French,painter,"b. 1575/76, Nancy, d. 1636, Paris"
"REHBENITZ, Theodor Markus",German,painter,"b. 1791, Holstein, d. 1861, Kiel"
"WHITCOMBE, Thomas",English,painter,"b. ca. 1752, London, d. ca. 1824, London"
"ZOCCHI, Cosimo",Italian,printmaker,active 1740-c. 1770
"CHAMPAIGNE, Philippe de",French,painter,"b. 1602, Bruxelles, d. 1674, Paris"
MICHELINO DA BESOZZO,Italian illuminator and,painter,d. 1450
"VINCENT, François-André",French,painter,"b. 1746, Paris, d. 1816, Paris"
"CELESTI, Andrea","Italian painter, Venetian",school,"b. 1637, Venezia, d. 1712, Venezia"
"PEETERS, Bonaventura I",Flemish,painter,"b. 1614, Antwerpen, d. 1652, Hoboken"
"POST, Pieter Jansz",Dutch,architect/painter,"b. 1608, Haarlem, d. 1669, 's Gravenhage"
"BONINGTON, Richard Parkes",English,painter,"b. 1802, Arnold, d. 1828, London"
"DIZIANI, Antonio","Italian painter, Venetian",school,"b. 1737, Venezia, d. 1797, Venezia"
"SELLAER, Vincent",Flemish,painter,"active 1538-1544, Mechelen"
"REYNOLDS, Sir Joshua",English,painter,"b. 1723, Plympton Earl, d. 1792, London"
"WAITT, Richard",Scottish,painter,active 1706-1732
"LEVECQ, Jacobus",Dutch,painter,"b. 1634, Dordrecht, d. 1675, Dordrecht"
"BUYS, Jacobus",Dutch painter and,printmaker,"b. 1724, Amsterdam, d. 1801, Amsterdam"
"KRUMPER, Hans",German,sculptor,"b. ca. 1570, Weilheim, d. 1634, München"
"KOEKKOEK, Barend Cornelis",Dutch,painter,"b. 1803, Middelburg, d. 1862, Cleve"
"KOLLONITSCH, Christian",Austrian,painter,"b. 1730, Wien, d. 1802, Wien"
"BRAND, Christian Hilfgott",Austrian,painter,"b. 1694, Frankfurt/Oder, d. 1756, Wien"
PACECCO,"Italian painter, Neapolitan",school,"b. 1607, Napoli, d. 1656, Napoli"
"BREEN, Gillis van",Dutch,printmaker,active 1595-1622 in Haarlem
"RAYSKI, Ferdinand von",German,painter,"b. 1806, Pegau, d. 1890, Dresden"
"SUSTRIS, Friedrich","Painter of Dutch descent, active in",Germany,"b. ca. 1540, Venezia, d. 1599, München"
"VALENCIENNES, Pierre-Henri de",French,painter,"b. 1750, Toulouse, d. 1819, Paris"
"LÓPEZ Y PIQUER, Bernardo",Spanish,painter,"b. 1801, Valencia, 1874, Madrid"
"BROWN, Ford Madox",English,painter,"b. 1821, Calais, d. 1893, London"
PIETRO DA VICENZA,"Italian painter, Friuli",school,"b. ca. 1467, Vicenza, d. 1527, Mantova"
"FRANCKEN, Frans I",Flemish,painter,"b. 1542, Herentals, d. 1616, Antwerpen"
"FARINATI, Paolo","Italian painter, Veronese",school,"b. 1524, Verona, d. 1606, Verona"
"SANGALLO, Giuliano da",Italian,architect/sculptor,"b. 1445, Firenze, d. 1516, Firenze"
"VIVARINI, Alvise","Italian painter, Venetian",school,"b. 1445/46, Venezia, d. 1503/5, Venezia"
"CAMPAÑA, Pedro de",Spanish/Flemish,painter,"b. 1503, Bruxelles, d. 1580, Bruxelles"
"MONET, Claude",French,painter,"b. 1840, Paris, d. 1926, Giverny"
"SCARABELLI, Orazio",Italian,printmaker,active c. 1589 in Florence
"PERCY, Sidney Richard",English,painter,"b. 1821, London, d. 1886, Sutton"
"CERRINI, Giovanni Domenico",Italian,painter,"b. 1609, Perugia, d. 1681, Roma"
GIROLAMO DI GIOVANNI DA CAMERINO,Italian,painter,active 1449-1473
"GHISSI, Francescuccio",Italian,painter,active 1359-1395
"MAROT, Jean I",French,engraver,"b. 1619, Paris, d. 1679, Paris"
"KYHN, Vilhelm",Danish,painter,"b. 1819, København, d. 1903, Frederiksberg"
"BRUEGHEL, Abraham",Flemish,painter,"b. 1631, Antwerpen, d. 1697, Napoli"
"QUELLINUS, Jan-Erasmus",Flemish,painter,"b. 1634, Antwerpen, d. 1715, Mechelen"
"MUNRO, Alexander",Scottish,painter,"b. 1825, Inverness, d. 1871, Cannes"
"HUNT, William Holman",English,painter,"b. 1827, London, d. 1910, London"
"MIJ, Hieronymus van der",Dutch,painter,"b. 1687, Leiden, d. 1761, Leiden"
"BORDONE, Paris","Italian painter, Venetian",school,"b. 1500, Treviso, d. 1571, Venezia"
"LORCK, Melchior",Danish,printmaker,"b. ca. 1526, Flensburg, d. ca. 1598, Silesia"
"FRANCKEN, Hieronymus, III",Flemish,painter,"b. 1611, Antwerpen, d. after 1661"
"RASTRELLI, Francesco Bartolomeo",Italian,architect,"b. 1700, Paris, d. 1771, St. Petersburg"
